"Task ID","Event Date Time (UTC)","Performance Counter","Value"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\processor(_total)\% processor time","2.29286727960397"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\processor(0)\% processor time","3.06221478133938"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\processor(1)\% processor time","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\processor(2)\% processor time","4.60090978481018"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\processor(3)\% processor time","1.52351977786858"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\processor(_total)\% privileged time","0.769347501735402"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\processor(_total)\% user time","1.5386950034708"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\sqlserver:workload group stats(default)\cpu usage %","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\sqlserver:workload group stats(internal)\cpu usage %","4.25742574257426"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\memory\available kbytes","30292852"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\memory\committed bytes","2834698240"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\paging file(_total)\% usage","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\sqlserver:memory manager\database cache memory (kb)","17608"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\sqlserver:memory manager\free memory (kb)","2688"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\sqlserver:memory manager\target server memory (kb)","29032440"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\sqlserver:memory manager\total server memory (kb)","371952"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\disk reads/sec","132.223188766"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\disk writes/sec","154.094693674661"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\disk transfers/sec","286.317882440661"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\disk read bytes/sec","7126133.96296757"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\disk write bytes/sec","1103532.74512241"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\disk bytes/sec","8229666.70808997"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\avg. disk bytes/read","53894.7368421053"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\avg. disk bytes/write","7161.3935483871"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\avg. disk bytes/transfer","28743.1111111111"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\logicaldisk(_total)\avg. disk sec/transfer","0.000579641319444444"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(0 c:)\disk reads/sec","78.5385858083758"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(1 g:)\disk reads/sec","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(3 l:)\disk reads/sec","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(4 t:)\disk reads/sec","51.6962843295638"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(2 e:)\disk reads/sec","1.98831862806015"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(0 c:)\disk writes/sec","16.9007083385112"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(1 g:)\disk writes/sec","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(3 l:)\disk writes/sec","4.97079657015037"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(4 t:)\disk writes/sec","131.22902945197"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(2 e:)\disk writes/sec","0.994159314030073"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(0 c:)\disk transfers/sec","95.439294146887"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(1 g:)\disk transfers/sec","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(3 l:)\disk transfers/sec","4.97079657015037"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(4 t:)\disk transfers/sec","182.925313781533"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(2 e:)\disk transfers/sec","2.98247794209022"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(0 c:)\disk read bytes/sec","5147104.75953772"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(1 g:)\disk read bytes/sec","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(3 l:)\disk read bytes/sec","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(4 t:)\disk read bytes/sec","1848722.7538213"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(2 e:)\disk read bytes/sec","130306.44960855"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(0 c:)\disk write bytes/sec","73297.3779048092"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(1 g:)\disk write bytes/sec","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(3 l:)\disk write bytes/sec","10180.191375668"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(4 t:)\disk write bytes/sec","1011911.02274139"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(2 e:)\disk write bytes/sec","8144.15310053436"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(0 c:)\disk bytes/sec","5220402.13744252"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(1 g:)\disk bytes/sec","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(3 l:)\disk bytes/sec","10180.191375668"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(4 t:)\disk bytes/sec","2860633.77656269"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(2 e:)\disk bytes/sec","138450.602709084"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(0 c:)\avg. disk bytes/read","65536"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(1 g:)\avg. disk bytes/read","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(3 l:)\avg. disk bytes/read","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(4 t:)\avg. disk bytes/read","35761.2307692308"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(2 e:)\avg. disk bytes/read","65536"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(0 c:)\avg. disk bytes/write","4336.94117647059"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(1 g:)\avg. disk bytes/write","0"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(3 l:)\avg. disk bytes/write","2048"
"Blog-B1","1/7/2020 8:00:39 PM","\\ec2amaz-2k3pvvl\physicaldisk(4 t:)\avg. disk bytes/write","7711.0303030303"
